Time,block-height-btc-24h
2009-01-09 00:00:00+00:00,14
2009-01-10 00:00:00+00:00,75
2009-01-11 00:00:00+00:00,168
2009-01-12 00:00:00+00:00,262
2009-01-13 00:00:00+00:00,385
2009-01-14 00:00:00+00:00,514
2009-01-15 00:00:00+00:00,640
2009-01-16 00:00:00+00:00,748
2009-01-17 00:00:00+00:00,857
2009-01-18 00:00:00+00:00,964
2009-01-19 00:00:00+00:00,1079
2009-01-20 00:00:00+00:00,1193
2009-01-21 00:00:00+00:00,1295
2009-01-22 00:00:00+00:00,1386
2009-01-23 00:00:00+00:00,1470
2009-01-24 00:00:00+00:00,1671
2009-01-25 00:00:00+00:00,1862
2009-01-26 00:00:00+00:00,1958
2009-01-27 00:00:00+00:00,2055
2009-01-28 00:00:00+00:00,2167
2009-01-29 00:00:00+00:00,2288
2009-01-30 00:00:00+00:00,2405
2009-01-31 00:00:00+00:00,2543
2009-02-01 00:00:00+00:00,2656
2009-02-02 00:00:00+00:00,2784
2009-02-03 00:00:00+00:00,2923
2009-02-04 00:00:00+00:00,3042
2009-02-05 00:00:00+00:00,3168
2009-02-06 00:00:00+00:00,3290
2009-02-07 00:00:00+00:00,3419
2009-02-08 00:00:00+00:00,3551
2009-02-09 00:00:00+00:00,3685
2009-02-10 00:00:00+00:00,3805
2009-02-11 00:00:00+00:00,3938
2009-02-12 00:00:00+00:00,4057
2009-02-13 00:00:00+00:00,4181
2009-02-14 00:00:00+00:00,4317
2009-02-15 00:00:00+00:00,4445
2009-02-16 00:00:00+00:00,4567
2009-02-17 00:00:00+00:00,4684
2009-02-18 00:00:00+00:00,4802
2009-02-19 00:00:00+00:00,4926
2009-02-20 00:00:00+00:00,5048
2009-02-21 00:00:00+00:00,5162
2009-02-22 00:00:00+00:00,5283
2009-02-23 00:00:00+00:00,5391
2009-02-24 00:00:00+00:00,5497
2009-02-25 00:00:00+00:00,5602
2009-02-26 00:00:00+00:00,5709
2009-02-27 00:00:00+00:00,5824
2009-02-28 00:00:00+00:00,5923
2009-03-01 00:00:00+00:00,6028
2009-03-02 00:00:00+00:00,6136
2009-03-03 00:00:00+00:00,6241
2009-03-04 00:00:00+00:00,6345
2009-03-05 00:00:00+00:00,6457
2009-03-06 00:00:00+00:00,6574
2009-03-07 00:00:00+00:00,6683
2009-03-08 00:00:00+00:00,6798
2009-03-09 00:00:00+00:00,6906
2009-03-10 00:00:00+00:00,7013
2009-03-11 00:00:00+00:00,7127
2009-03-12 00:00:00+00:00,7245
2009-03-13 00:00:00+00:00,7358
2009-03-14 00:00:00+00:00,7468
2009-03-15 00:00:00+00:00,7591
2009-03-16 00:00:00+00:00,7712
2009-03-17 00:00:00+00:00,7826
2009-03-18 00:00:00+00:00,7940
2009-03-19 00:00:00+00:00,8062
2009-03-20 00:00:00+00:00,8180
2009-03-21 00:00:00+00:00,8230
2009-03-22 00:00:00+00:00,8349
2009-03-23 00:00:00+00:00,8479
2009-03-24 00:00:00+00:00,8584
2009-03-25 00:00:00+00:00,8701
2009-03-26 00:00:00+00:00,8818
2009-03-27 00:00:00+00:00,8924
2009-03-28 00:00:00+00:00,9043
2009-03-29 00:00:00+00:00,9159
2009-03-30 00:00:00+00:00,9279
2009-03-31 00:00:00+00:00,9389
2009-04-01 00:00:00+00:00,9503
2009-04-02 00:00:00+00:00,9618
2009-04-03 00:00:00+00:00,9734
2009-04-04 00:00:00+00:00,9847
2009-04-05 00:00:00+00:00,9977
2009-04-06 00:00:00+00:00,10086
2009-04-07 00:00:00+00:00,10186
2009-04-08 00:00:00+00:00,10291
2009-04-09 00:00:00+00:00,10390
2009-04-10 00:00:00+00:00,10498
2009-04-11 00:00:00+00:00,10618
2009-04-12 00:00:00+00:00,10736
2009-04-13 00:00:00+00:00,10851
2009-04-14 00:00:00+00:00,10975
2009-04-15 00:00:00+00:00,11088
2009-04-16 00:00:00+00:00,11211
2009-04-17 00:00:00+00:00,11323
2009-04-18 00:00:00+00:00,11449
2009-04-19 00:00:00+00:00,11568
2009-04-20 00:00:00+00:00,11687
2009-04-21 00:00:00+00:00,11810
2009-04-22 00:00:00+00:00,11931
