Time,utx-os-created-btc-24h
2009-01-03 00:00:00+00:00,1
2009-01-04 00:00:00+00:00,0
2009-01-05 00:00:00+00:00,0
2009-01-06 00:00:00+00:00,0
2009-01-07 00:00:00+00:00,0
2009-01-08 00:00:00+00:00,0
2009-01-09 00:00:00+00:00,14
2009-01-10 00:00:00+00:00,61
2009-01-11 00:00:00+00:00,93
2009-01-12 00:00:00+00:00,106
2009-01-13 00:00:00+00:00,123
2009-01-14 00:00:00+00:00,130
2009-01-15 00:00:00+00:00,140
2009-01-16 00:00:00+00:00,110
2009-01-17 00:00:00+00:00,109
2009-01-18 00:00:00+00:00,108
2009-01-19 00:00:00+00:00,117
2009-01-20 00:00:00+00:00,115
2009-01-21 00:00:00+00:00,103
2009-01-22 00:00:00+00:00,92
2009-01-23 00:00:00+00:00,86
2009-01-24 00:00:00+00:00,202
2009-01-25 00:00:00+00:00,192
2009-01-26 00:00:00+00:00,97
2009-01-27 00:00:00+00:00,98
2009-01-28 00:00:00+00:00,112
2009-01-29 00:00:00+00:00,122
2009-01-30 00:00:00+00:00,117
2009-01-31 00:00:00+00:00,139
2009-02-01 00:00:00+00:00,114
2009-02-02 00:00:00+00:00,129
2009-02-03 00:00:00+00:00,169
2009-02-04 00:00:00+00:00,119
2009-02-05 00:00:00+00:00,126
2009-02-06 00:00:00+00:00,122
2009-02-07 00:00:00+00:00,134
2009-02-08 00:00:00+00:00,133
2009-02-09 00:00:00+00:00,135
2009-02-10 00:00:00+00:00,120
2009-02-11 00:00:00+00:00,135
2009-02-12 00:00:00+00:00,119
2009-02-13 00:00:00+00:00,124
2009-02-14 00:00:00+00:00,136
2009-02-15 00:00:00+00:00,131
2009-02-16 00:00:00+00:00,123
2009-02-17 00:00:00+00:00,117
2009-02-18 00:00:00+00:00,118
2009-02-19 00:00:00+00:00,125
2009-02-20 00:00:00+00:00,122
2009-02-21 00:00:00+00:00,114
2009-02-22 00:00:00+00:00,125
2009-02-23 00:00:00+00:00,108
2009-02-24 00:00:00+00:00,106
2009-02-25 00:00:00+00:00,105
2009-02-26 00:00:00+00:00,107
2009-02-27 00:00:00+00:00,116
2009-02-28 00:00:00+00:00,100
2009-03-01 00:00:00+00:00,105
2009-03-02 00:00:00+00:00,108
2009-03-03 00:00:00+00:00,107
2009-03-04 00:00:00+00:00,107
2009-03-05 00:00:00+00:00,113
2009-03-06 00:00:00+00:00,117
2009-03-07 00:00:00+00:00,109
2009-03-08 00:00:00+00:00,118
2009-03-09 00:00:00+00:00,108
2009-03-10 00:00:00+00:00,107
2009-03-11 00:00:00+00:00,114
2009-03-12 00:00:00+00:00,119
2009-03-13 00:00:00+00:00,114
2009-03-14 00:00:00+00:00,110
2009-03-15 00:00:00+00:00,123
2009-03-16 00:00:00+00:00,122
2009-03-17 00:00:00+00:00,114
2009-03-18 00:00:00+00:00,116
2009-03-19 00:00:00+00:00,122
2009-03-20 00:00:00+00:00,119
2009-03-21 00:00:00+00:00,50
2009-03-22 00:00:00+00:00,121
2009-03-23 00:00:00+00:00,130
2009-03-24 00:00:00+00:00,105
2009-03-25 00:00:00+00:00,117
2009-03-26 00:00:00+00:00,118
2009-03-27 00:00:00+00:00,106
2009-03-28 00:00:00+00:00,122
2009-03-29 00:00:00+00:00,116
2009-03-30 00:00:00+00:00,120
2009-03-31 00:00:00+00:00,111
2009-04-01 00:00:00+00:00,114
2009-04-02 00:00:00+00:00,115
2009-04-03 00:00:00+00:00,116
2009-04-04 00:00:00+00:00,113
2009-04-05 00:00:00+00:00,132
2009-04-06 00:00:00+00:00,109
2009-04-07 00:00:00+00:00,100
2009-04-08 00:00:00+00:00,105
2009-04-09 00:00:00+00:00,99
2009-04-10 00:00:00+00:00,108
2009-04-11 00:00:00+00:00,121
2009-04-12 00:00:00+00:00,120
2009-04-13 00:00:00+00:00,117
2009-04-14 00:00:00+00:00,124
2009-04-15 00:00:00+00:00,113
2009-04-16 00:00:00+00:00,123
2009-04-17 00:00:00+00:00,112
2009-04-18 00:00:00+00:00,131
2009-04-19 00:00:00+00:00,120
2009-04-20 00:00:00+00:00,121
2009-04-21 00:00:00+00:00,125
2009-04-22 00:00:00+00:00,121
2009-04-23 00:00:00+00:00,75
2009-04-24 00:00:00+00:00,115
2009-04-25 00:00:00+00:00,118
2009-04-26 00:00:00+00:00,114
2009-04-27 00:00:00+00:00,104
2009-04-28 00:00:00+00:00,117
2009-04-29 00:00:00+00:00,129
2009-04-30 00:00:00+00:00,131
2009-05-01 00:00:00+00:00,121
2009-05-02 00:00:00+00:00,130
2009-05-03 00:00:00+00:00,111
2009-05-04 00:00:00+00:00,129
2009-05-05 00:00:00+00:00,136
2009-05-06 00:00:00+00:00,135
2009-05-07 00:00:00+00:00,122
2009-05-08 00:00:00+00:00,107
2009-05-09 00:00:00+00:00,78
2009-05-10 00:00:00+00:00,85
2009-05-11 00:00:00+00:00,122
2009-05-12 00:00:00+00:00,130
2009-05-13 00:00:00+00:00,118
2009-05-14 00:00:00+00:00,143
2009-05-15 00:00:00+00:00,137
2009-05-16 00:00:00+00:00,119
2009-05-17 00:00:00+00:00,127
2009-05-18 00:00:00+00:00,118
2009-05-19 00:00:00+00:00,86
2009-05-20 00:00:00+00:00,120
2009-05-21 00:00:00+00:00,82
2009-05-22 00:00:00+00:00,61
2009-05-23 00:00:00+00:00,32
2009-05-24 00:00:00+00:00,100
2009-05-25 00:00:00+00:00,109
2009-05-26 00:00:00+00:00,125
2009-05-27 00:00:00+00:00,119
2009-05-28 00:00:00+00:00,95
2009-05-29 00:00:00+00:00,107
2009-05-30 00:00:00+00:00,109
2009-05-31 00:00:00+00:00,96
2009-06-01 00:00:00+00:00,73
2009-06-02 00:00:00+00:00,111
2009-06-03 00:00:00+00:00,71
2009-06-04 00:00:00+00:00,66
2009-06-05 00:00:00+00:00,30
2009-06-06 00:00:00+00:00,28
2009-06-07 00:00:00+00:00,16
2009-06-08 00:00:00+00:00,82
2009-06-09 00:00:00+00:00,91
2009-06-10 00:00:00+00:00,82
2009-06-11 00:00:00+00:00,89
2009-06-12 00:00:00+00:00,86
2009-06-13 00:00:00+00:00,78
2009-06-14 00:00:00+00:00,72
2009-06-15 00:00:00+00:00,84
2009-06-16 00:00:00+00:00,71
2009-06-17 00:00:00+00:00,79
2009-06-18 00:00:00+00:00,80
2009-06-19 00:00:00+00:00,87
2009-06-20 00:00:00+00:00,78
2009-06-21 00:00:00+00:00,81
2009-06-22 00:00:00+00:00,77
2009-06-23 00:00:00+00:00,76
2009-06-24 00:00:00+00:00,98
2009-06-25 00:00:00+00:00,69
2009-06-26 00:00:00+00:00,90
2009-06-27 00:00:00+00:00,84
2009-06-28 00:00:00+00:00,48
2009-06-29 00:00:00+00:00,85
2009-06-30 00:00:00+00:00,86
2009-07-01 00:00:00+00:00,75
2009-07-02 00:00:00+00:00,85
2009-07-03 00:00:00+00:00,82
2009-07-04 00:00:00+00:00,89
2009-07-05 00:00:00+00:00,79
2009-07-06 00:00:00+00:00,84
2009-07-07 00:00:00+00:00,69
2009-07-08 00:00:00+00:00,74
2009-07-09 00:00:00+00:00,86
2009-07-10 00:00:00+00:00,81
2009-07-11 00:00:00+00:00,83
2009-07-12 00:00:00+00:00,77
2009-07-13 00:00:00+00:00,78
2009-07-14 00:00:00+00:00,69
2009-07-15 00:00:00+00:00,45
2009-07-16 00:00:00+00:00,71
2009-07-17 00:00:00+00:00,47
2009-07-18 00:00:00+00:00,4
2009-07-19 00:00:00+00:00,70
2009-07-20 00:00:00+00:00,72
2009-07-21 00:00:00+00:00,82
2009-07-22 00:00:00+00:00,60
2009-07-23 00:00:00+00:00,76
2009-07-24 00:00:00+00:00,73
2009-07-25 00:00:00+00:00,32
2009-07-26 00:00:00+00:00,21
2009-07-27 00:00:00+00:00,74
2009-07-28 00:00:00+00:00,41
2009-07-29 00:00:00+00:00,20
2009-07-30 00:00:00+00:00,17
2009-07-31 00:00:00+00:00,17
2009-08-01 00:00:00+00:00,28
2009-08-02 00:00:00+00:00,23
2009-08-03 00:00:00+00:00,12
2009-08-04 00:00:00+00:00,81
2009-08-05 00:00:00+00:00,87
2009-08-06 00:00:00+00:00,90
2009-08-07 00:00:00+00:00,82
2009-08-08 00:00:00+00:00,80
2009-08-09 00:00:00+00:00,101
2009-08-10 00:00:00+00:00,75
2009-08-11 00:00:00+00:00,70
2009-08-12 00:00:00+00:00,63
2009-08-13 00:00:00+00:00,85
2009-08-14 00:00:00+00:00,63
2009-08-15 00:00:00+00:00,26
2009-08-16 00:00:00+00:00,19
2009-08-17 00:00:00+00:00,17
2009-08-18 00:00:00+00:00,10
2009-08-19 00:00:00+00:00,18
2009-08-20 00:00:00+00:00,22
2009-08-21 00:00:00+00:00,14
2009-08-22 00:00:00+00:00,7
2009-08-23 00:00:00+00:00,15
2009-08-24 00:00:00+00:00,15
2009-08-25 00:00:00+00:00,50
2009-08-26 00:00:00+00:00,53
2009-08-27 00:00:00+00:00,29
2009-08-28 00:00:00+00:00,75
2009-08-29 00:00:00+00:00,78
2009-08-30 00:00:00+00:00,98
2009-08-31 00:00:00+00:00,87
2009-09-01 00:00:00+00:00,78
2009-09-02 00:00:00+00:00,66
2009-09-03 00:00:00+00:00,62
2009-09-04 00:00:00+00:00,64
2009-09-05 00:00:00+00:00,76
2009-09-06 00:00:00+00:00,68
2009-09-07 00:00:00+00:00,79
2009-09-08 00:00:00+00:00,69
2009-09-09 00:00:00+00:00,54
2009-09-10 00:00:00+00:00,67
2009-09-11 00:00:00+00:00,67
