Time,block-interval-median-btc-24h
2009-01-09 00:00:00+00:00,440
2009-01-10 00:00:00+00:00,667
2009-01-11 00:00:00+00:00,677
2009-01-12 00:00:00+00:00,707
2009-01-13 00:00:00+00:00,725
2009-01-14 00:00:00+00:00,689
2009-01-15 00:00:00+00:00,699
2009-01-16 00:00:00+00:00,805
2009-01-17 00:00:00+00:00,798
2009-01-18 00:00:00+00:00,785
2009-01-19 00:00:00+00:00,738
2009-01-20 00:00:00+00:00,768
2009-01-21 00:00:00+00:00,739
2009-01-22 00:00:00+00:00,900
2009-01-23 00:00:00+00:00,403
2009-01-24 00:00:00+00:00,391
2009-01-25 00:00:00+00:00,409
2009-01-26 00:00:00+00:00,554
2009-01-27 00:00:00+00:00,836
2009-01-28 00:00:00+00:00,729
2009-01-29 00:00:00+00:00,655
2009-01-30 00:00:00+00:00,660
2009-01-31 00:00:00+00:00,594
2009-02-01 00:00:00+00:00,686
2009-02-02 00:00:00+00:00,597
2009-02-03 00:00:00+00:00,579
2009-02-04 00:00:00+00:00,693
2009-02-05 00:00:00+00:00,610
2009-02-06 00:00:00+00:00,695
2009-02-07 00:00:00+00:00,579
2009-02-08 00:00:00+00:00,588
2009-02-09 00:00:00+00:00,601
2009-02-10 00:00:00+00:00,630
2009-02-11 00:00:00+00:00,594
2009-02-12 00:00:00+00:00,674
2009-02-13 00:00:00+00:00,613
2009-02-14 00:00:00+00:00,547
2009-02-15 00:00:00+00:00,647
2009-02-16 00:00:00+00:00,671
2009-02-17 00:00:00+00:00,687
2009-02-18 00:00:00+00:00,676
2009-02-19 00:00:00+00:00,621
2009-02-20 00:00:00+00:00,667
2009-02-21 00:00:00+00:00,738
2009-02-22 00:00:00+00:00,646
2009-02-23 00:00:00+00:00,764
2009-02-24 00:00:00+00:00,763
2009-02-25 00:00:00+00:00,758
2009-02-26 00:00:00+00:00,789
2009-02-27 00:00:00+00:00,699
2009-02-28 00:00:00+00:00,832
2009-03-01 00:00:00+00:00,810
2009-03-02 00:00:00+00:00,764
2009-03-03 00:00:00+00:00,836
2009-03-04 00:00:00+00:00,796
2009-03-05 00:00:00+00:00,758
2009-03-06 00:00:00+00:00,755
2009-03-07 00:00:00+00:00,762
2009-03-08 00:00:00+00:00,805
2009-03-09 00:00:00+00:00,758
2009-03-10 00:00:00+00:00,749
2009-03-11 00:00:00+00:00,747
2009-03-12 00:00:00+00:00,663
2009-03-13 00:00:00+00:00,738
2009-03-14 00:00:00+00:00,707
