Time,block-size-total-btc-24h
2009-01-09 00:00:00+00:00,3010
2009-01-10 00:00:00+00:00,13129
2009-01-11 00:00:00+00:00,20033
2009-01-12 00:00:00+00:00,22031
2009-01-13 00:00:00+00:00,26527
2009-01-14 00:00:00+00:00,28276
2009-01-15 00:00:00+00:00,30061
2009-01-16 00:00:00+00:00,23854
2009-01-17 00:00:00+00:00,23528
2009-01-18 00:00:00+00:00,23534
2009-01-19 00:00:00+00:00,26783
2009-01-20 00:00:00+00:00,25619
2009-01-21 00:00:00+00:00,22337
2009-01-22 00:00:00+00:00,20816
2009-01-23 00:00:00+00:00,19256
2009-01-24 00:00:00+00:00,44634
2009-01-25 00:00:00+00:00,41447
2009-01-26 00:00:00+00:00,23035
2009-01-27 00:00:00+00:00,21370
2009-01-28 00:00:00+00:00,24153
2009-01-29 00:00:00+00:00,27498
2009-01-30 00:00:00+00:00,25257
2009-01-31 00:00:00+00:00,32080
2009-02-01 00:00:00+00:00,24657
2009-02-02 00:00:00+00:00,27788
2009-02-03 00:00:00+00:00,34541
2009-02-04 00:00:00+00:00,25673
2009-02-05 00:00:00+00:00,27181
2009-02-06 00:00:00+00:00,26332
2009-02-07 00:00:00+00:00,31000
2009-02-08 00:00:00+00:00,28720
2009-02-09 00:00:00+00:00,33983
2009-02-10 00:00:00+00:00,25880
2009-02-11 00:00:00+00:00,30474
2009-02-12 00:00:00+00:00,25689
2009-02-13 00:00:00+00:00,26772
2009-02-14 00:00:00+00:00,29347
2009-02-15 00:00:00+00:00,29361
2009-02-16 00:00:00+00:00,29789
2009-02-17 00:00:00+00:00,25260
2009-02-18 00:00:00+00:00,25481
2009-02-19 00:00:00+00:00,28650
2009-02-20 00:00:00+00:00,26334
2009-02-21 00:00:00+00:00,24620
2009-02-22 00:00:00+00:00,27654
2009-02-23 00:00:00+00:00,23327
2009-02-24 00:00:00+00:00,22889
2009-02-25 00:00:00+00:00,22666
2009-02-26 00:00:00+00:00,23108
2009-02-27 00:00:00+00:00,28957
2009-02-28 00:00:00+00:00,22228
2009-03-01 00:00:00+00:00,22675
2009-03-02 00:00:00+00:00,23324
2009-03-03 00:00:00+00:00,23670
2009-03-04 00:00:00+00:00,25450
2009-03-05 00:00:00+00:00,25134
2009-03-06 00:00:00+00:00,25263
2009-03-07 00:00:00+00:00,23541
2009-03-08 00:00:00+00:00,28013
2009-03-09 00:00:00+00:00,23297
2009-03-10 00:00:00+00:00,23109
2009-03-11 00:00:00+00:00,24611
2009-03-12 00:00:00+00:00,25905
2009-03-13 00:00:00+00:00,25921
2009-03-14 00:00:00+00:00,23737
2009-03-15 00:00:00+00:00,26564
2009-03-16 00:00:00+00:00,31643
2009-03-17 00:00:00+00:00,24620
2009-03-18 00:00:00+00:00,26301
2009-03-19 00:00:00+00:00,26326
2009-03-20 00:00:00+00:00,26887
2009-03-21 00:00:00+00:00,10794
