Time,receiving-addresses-btc-24h
2009-01-03 00:00:00+00:00,0
2009-01-04 00:00:00+00:00,0
2009-01-05 00:00:00+00:00,0
2009-01-06 00:00:00+00:00,0
2009-01-07 00:00:00+00:00,0
2009-01-08 00:00:00+00:00,0
2009-01-09 00:00:00+00:00,0
2009-01-10 00:00:00+00:00,0
2009-01-11 00:00:00+00:00,0
2009-01-12 00:00:00+00:00,8
2009-01-13 00:00:00+00:00,0
2009-01-14 00:00:00+00:00,1
2009-01-15 00:00:00+00:00,8
2009-01-16 00:00:00+00:00,2
2009-01-17 00:00:00+00:00,0
2009-01-18 00:00:00+00:00,1
2009-01-19 00:00:00+00:00,2
2009-01-20 00:00:00+00:00,1
2009-01-21 00:00:00+00:00,1
2009-01-22 00:00:00+00:00,1
2009-01-23 00:00:00+00:00,2
2009-01-24 00:00:00+00:00,1
2009-01-25 00:00:00+00:00,1
2009-01-26 00:00:00+00:00,1
2009-01-27 00:00:00+00:00,1
2009-01-28 00:00:00+00:00,0
2009-01-29 00:00:00+00:00,1
2009-01-30 00:00:00+00:00,0
2009-01-31 00:00:00+00:00,1
2009-02-01 00:00:00+00:00,1
2009-02-02 00:00:00+00:00,1
2009-02-03 00:00:00+00:00,14
2009-02-04 00:00:00+00:00,0
2009-02-05 00:00:00+00:00,0
2009-02-06 00:00:00+00:00,0
2009-02-07 00:00:00+00:00,5
2009-02-08 00:00:00+00:00,1
2009-02-09 00:00:00+00:00,1
2009-02-10 00:00:00+00:00,0
2009-02-11 00:00:00+00:00,2
2009-02-12 00:00:00+00:00,0
2009-02-13 00:00:00+00:00,0
2009-02-14 00:00:00+00:00,0
2009-02-15 00:00:00+00:00,3
2009-02-16 00:00:00+00:00,1
2009-02-17 00:00:00+00:00,0
2009-02-18 00:00:00+00:00,0
2009-02-19 00:00:00+00:00,1
2009-02-20 00:00:00+00:00,0
2009-02-21 00:00:00+00:00,0
2009-02-22 00:00:00+00:00,4
2009-02-23 00:00:00+00:00,0
2009-02-24 00:00:00+00:00,0
2009-02-25 00:00:00+00:00,0
2009-02-26 00:00:00+00:00,0
2009-02-27 00:00:00+00:00,1
2009-02-28 00:00:00+00:00,1
2009-03-01 00:00:00+00:00,0
2009-03-02 00:00:00+00:00,0
2009-03-03 00:00:00+00:00,1
2009-03-04 00:00:00+00:00,2
2009-03-05 00:00:00+00:00,1
2009-03-06 00:00:00+00:00,0
2009-03-07 00:00:00+00:00,0
2009-03-08 00:00:00+00:00,3
2009-03-09 00:00:00+00:00,0
2009-03-10 00:00:00+00:00,0
2009-03-11 00:00:00+00:00,0
2009-03-12 00:00:00+00:00,1
2009-03-13 00:00:00+00:00,1
2009-03-14 00:00:00+00:00,0
2009-03-15 00:00:00+00:00,0
2009-03-16 00:00:00+00:00,1
2009-03-17 00:00:00+00:00,0
2009-03-18 00:00:00+00:00,1
2009-03-19 00:00:00+00:00,0
2009-03-20 00:00:00+00:00,1
2009-03-21 00:00:00+00:00,0
2009-03-22 00:00:00+00:00,1
2009-03-23 00:00:00+00:00,0
2009-03-24 00:00:00+00:00,0
2009-03-25 00:00:00+00:00,0
2009-03-26 00:00:00+00:00,1
2009-03-27 00:00:00+00:00,0
2009-03-28 00:00:00+00:00,1
2009-03-29 00:00:00+00:00,0
2009-03-30 00:00:00+00:00,0
2009-03-31 00:00:00+00:00,1
2009-04-01 00:00:00+00:00,0
2009-04-02 00:00:00+00:00,0
2009-04-03 00:00:00+00:00,0
2009-04-04 00:00:00+00:00,0
2009-04-05 00:00:00+00:00,1
2009-04-06 00:00:00+00:00,0
2009-04-07 00:00:00+00:00,0
2009-04-08 00:00:00+00:00,0
2009-04-09 00:00:00+00:00,0
2009-04-10 00:00:00+00:00,0
2009-04-11 00:00:00+00:00,1
2009-04-12 00:00:00+00:00,2
2009-04-13 00:00:00+00:00,2
2009-04-14 00:00:00+00:00,0
2009-04-15 00:00:00+00:00,0
2009-04-16 00:00:00+00:00,0
2009-04-17 00:00:00+00:00,0
2009-04-18 00:00:00+00:00,3
2009-04-19 00:00:00+00:00,1
2009-04-20 00:00:00+00:00,2
2009-04-21 00:00:00+00:00,2
2009-04-22 00:00:00+00:00,0
2009-04-23 00:00:00+00:00,0
2009-04-24 00:00:00+00:00,0
2009-04-25 00:00:00+00:00,0
2009-04-26 00:00:00+00:00,1
2009-04-27 00:00:00+00:00,0
2009-04-28 00:00:00+00:00,0
2009-04-29 00:00:00+00:00,1
2009-04-30 00:00:00+00:00,0
2009-05-01 00:00:00+00:00,0
2009-05-02 00:00:00+00:00,4
2009-05-03 00:00:00+00:00,4
2009-05-04 00:00:00+00:00,1
2009-05-05 00:00:00+00:00,1
2009-05-06 00:00:00+00:00,0
2009-05-07 00:00:00+00:00,0
2009-05-08 00:00:00+00:00,0
2009-05-09 00:00:00+00:00,0
2009-05-10 00:00:00+00:00,0
2009-05-11 00:00:00+00:00,2
2009-05-12 00:00:00+00:00,0
2009-05-13 00:00:00+00:00,5
2009-05-14 00:00:00+00:00,4
2009-05-15 00:00:00+00:00,1
2009-05-16 00:00:00+00:00,0
2009-05-17 00:00:00+00:00,0
2009-05-18 00:00:00+00:00,0
2009-05-19 00:00:00+00:00,0
2009-05-20 00:00:00+00:00,0
2009-05-21 00:00:00+00:00,0
2009-05-22 00:00:00+00:00,0
2009-05-23 00:00:00+00:00,0
2009-05-24 00:00:00+00:00,0
2009-05-25 00:00:00+00:00,0
2009-05-26 00:00:00+00:00,0
2009-05-27 00:00:00+00:00,0
2009-05-28 00:00:00+00:00,0
2009-05-29 00:00:00+00:00,1
2009-05-30 00:00:00+00:00,0
2009-05-31 00:00:00+00:00,0
2009-06-01 00:00:00+00:00,2
2009-06-02 00:00:00+00:00,0
