Time,total-addresses-btc-24h
2009-01-03 00:00:00+00:00,1
2009-01-04 00:00:00+00:00,1
2009-01-05 00:00:00+00:00,1
2009-01-06 00:00:00+00:00,1
2009-01-07 00:00:00+00:00,1
2009-01-08 00:00:00+00:00,1
2009-01-09 00:00:00+00:00,15
2009-01-10 00:00:00+00:00,76
2009-01-11 00:00:00+00:00,169
2009-01-12 00:00:00+00:00,270
2009-01-13 00:00:00+00:00,393
2009-01-14 00:00:00+00:00,523
2009-01-15 00:00:00+00:00,655
2009-01-16 00:00:00+00:00,765
2009-01-17 00:00:00+00:00,874
2009-01-18 00:00:00+00:00,982
2009-01-19 00:00:00+00:00,1098
2009-01-20 00:00:00+00:00,1213
2009-01-21 00:00:00+00:00,1316
2009-01-22 00:00:00+00:00,1407
2009-01-23 00:00:00+00:00,1492
2009-01-24 00:00:00+00:00,1694
2009-01-25 00:00:00+00:00,1886
2009-01-26 00:00:00+00:00,1982
2009-01-27 00:00:00+00:00,2080
2009-01-28 00:00:00+00:00,2192
2009-01-29 00:00:00+00:00,2313
2009-01-30 00:00:00+00:00,2430
2009-01-31 00:00:00+00:00,2569
2009-02-01 00:00:00+00:00,2683
2009-02-02 00:00:00+00:00,2812
2009-02-03 00:00:00+00:00,2961
2009-02-04 00:00:00+00:00,3080
2009-02-05 00:00:00+00:00,3206
2009-02-06 00:00:00+00:00,3328
2009-02-07 00:00:00+00:00,3461
2009-02-08 00:00:00+00:00,3594
2009-02-09 00:00:00+00:00,3728
2009-02-10 00:00:00+00:00,3848
2009-02-11 00:00:00+00:00,3983
2009-02-12 00:00:00+00:00,4102
2009-02-13 00:00:00+00:00,4226
2009-02-14 00:00:00+00:00,4362
2009-02-15 00:00:00+00:00,4493
2009-02-16 00:00:00+00:00,4615
2009-02-17 00:00:00+00:00,4732
2009-02-18 00:00:00+00:00,4850
2009-02-19 00:00:00+00:00,4974
2009-02-20 00:00:00+00:00,5096
2009-02-21 00:00:00+00:00,5210
2009-02-22 00:00:00+00:00,5335
2009-02-23 00:00:00+00:00,5443
2009-02-24 00:00:00+00:00,5549
2009-02-25 00:00:00+00:00,5654
2009-02-26 00:00:00+00:00,5761
2009-02-27 00:00:00+00:00,5876
2009-02-28 00:00:00+00:00,5975
2009-03-01 00:00:00+00:00,6080
2009-03-02 00:00:00+00:00,6188
2009-03-03 00:00:00+00:00,6293
2009-03-04 00:00:00+00:00,6397
2009-03-05 00:00:00+00:00,6509
2009-03-06 00:00:00+00:00,6626
2009-03-07 00:00:00+00:00,6735
2009-03-08 00:00:00+00:00,6852
2009-03-09 00:00:00+00:00,6960
2009-03-10 00:00:00+00:00,7067
2009-03-11 00:00:00+00:00,7181
2009-03-12 00:00:00+00:00,7300
2009-03-13 00:00:00+00:00,7413
2009-03-14 00:00:00+00:00,7523
2009-03-15 00:00:00+00:00,7646
2009-03-16 00:00:00+00:00,7767
2009-03-17 00:00:00+00:00,7881
2009-03-18 00:00:00+00:00,7995
2009-03-19 00:00:00+00:00,8117
2009-03-20 00:00:00+00:00,8235
2009-03-21 00:00:00+00:00,8285
2009-03-22 00:00:00+00:00,8404
2009-03-23 00:00:00+00:00,8534
2009-03-24 00:00:00+00:00,8639
2009-03-25 00:00:00+00:00,8756
2009-03-26 00:00:00+00:00,8873
2009-03-27 00:00:00+00:00,8979
2009-03-28 00:00:00+00:00,9098
2009-03-29 00:00:00+00:00,9214
2009-03-30 00:00:00+00:00,9334
2009-03-31 00:00:00+00:00,9444
2009-04-01 00:00:00+00:00,9558
2009-04-02 00:00:00+00:00,9673
2009-04-03 00:00:00+00:00,9789
2009-04-04 00:00:00+00:00,9902
2009-04-05 00:00:00+00:00,10032
2009-04-06 00:00:00+00:00,10141
2009-04-07 00:00:00+00:00,10241
2009-04-08 00:00:00+00:00,10346
2009-04-09 00:00:00+00:00,10445
2009-04-10 00:00:00+00:00,10553
2009-04-11 00:00:00+00:00,10674
2009-04-12 00:00:00+00:00,10793
2009-04-13 00:00:00+00:00,10909
2009-04-14 00:00:00+00:00,11033
2009-04-15 00:00:00+00:00,11146
2009-04-16 00:00:00+00:00,11269
2009-04-17 00:00:00+00:00,11381
2009-04-18 00:00:00+00:00,11509
2009-04-19 00:00:00+00:00,11628
2009-04-20 00:00:00+00:00,11748
2009-04-21 00:00:00+00:00,11872
2009-04-22 00:00:00+00:00,11993
2009-04-23 00:00:00+00:00,12068
