ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
11/22/2021 1:35,59445.09638,57270.43449,61443.50346,15265.8556,15265.8556,15265.8556
11/23/2021 1:35,58896.99814,56791.55995,60996.0669,14770.71731,14770.71731,14770.71731
11/24/2021 1:35,58233.99496,56067.09214,60400.04932,14275.57903,14275.57903,14275.57903
11/25/2021 1:35,57758.33762,55529.81688,59988.16758,13780.44075,13780.44075,13780.44075
11/26/2021 1:35,56913.50062,54678.40619,59153.01341,13285.30246,13285.30246,13285.30246
11/27/2021 1:35,56386.6818,54087.14249,58646.01578,12790.16418,12790.16418,12790.16418
11/28/2021 1:35,55634.42074,53314.01245,58039.88504,12295.0259,12245.8748,12310.6828
11/29/2021 1:35,54787.31066,52377.85715,57480.04967,11799.88762,11550.43772,12076.52111
11/30/2021 1:35,53970.55057,51420.05934,56636.7755,11304.74933,10780.89733,11880.46364
12/1/2021 1:35,53054.12462,50395.56392,55878.18629,10809.61105,9902.983966,11647.41096
12/2/2021 1:35,52344.40952,49495.40304,55190.77754,10314.47277,8846.715884,11624.52129
12/3/2021 1:35,51288.92011,48024.68024,54336.35282,9819.334483,7799.925775,11685.12067
12/4/2021 1:35,50578.71023,47438.58151,53815.01404,9324.1962,6716.336025,11613.6239
12/5/2021 1:35,49673.89236,45763.57117,52995.99919,8829.057916,5607.772313,11489.80603
12/6/2021 1:35,48708.25317,44520.65412,52682.15885,8333.919633,4503.499464,11647.42615
12/7/2021 1:35,47809.71385,42990.47751,52108.25538,7838.78135,3605.947013,11613.2665
12/8/2021 1:35,46850.42504,42063.01566,52307.7779,7343.643067,2657.786153,11924.99533
12/9/2021 1:35,46138.29916,40677.35486,51601.63559,6848.504784,1657.206813,12052.21409
12/10/2021 1:35,45121.69257,38819.16656,51502.1933,6353.366501,528.0699534,12087.58796
12/11/2021 1:35,44491.75674,37309.9463,51645.64248,5858.228218,-1183.43509,12492.20488
12/12/2021 1:35,43707.92351,35269.42547,51394.59245,5363.089935,-2532.980515,12889.6822
12/13/2021 1:35,42902.503,34032.87909,51876.90285,4867.951652,-3910.703339,13055.75987
12/14/2021 1:35,42201.14437,31995.69014,51936.64803,4372.813368,-4931.914639,13197.78945
12/15/2021 1:35,41472.94944,30921.39828,51672.75045,3877.675085,-6087.339867,13788.58647
12/16/2021 1:35,41022.04266,30069.22232,51238.00211,3382.536802,-7248.830313,14392.24912
12/17/2021 1:35,40292.30942,28361.647,51901.11027,2887.398519,-8742.707669,14385.83874
12/18/2021 1:35,39969.82128,27446.90633,52303.95742,2392.260236,-10404.10325,14456.59259
12/19/2021 1:35,39508.41208,26412.7084,52622.16741,1897.121953,-11848.24257,14967.64021
12/20/2021 1:35,39034.38191,24616.91369,52694.64843,1401.98367,-13101.25943,15309.70587
12/21/2021 1:35,38667.07713,23657.53871,53220.61534,906.8453867,-15035.71616,15720.29925
