ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-04,48543.85674222962,42700.74889637615,54916.60098574066,48877.92996105966,48877.92996105966,48877.92996105966
2021-11-05,48550.92401306311,42647.845611791745,54632.24421990985,48936.48330094813,48936.48330094813,48936.48330094813
2021-11-06,48533.58220525086,42625.571495758864,54495.36288667446,48995.036640836566,48995.036640836566,48995.036640836566
2021-11-07,48494.535900566145,42255.38177873479,54582.1117813329,49053.58998072503,49053.58998072503,49053.58998072503
2021-11-08,48479.97325140733,41981.397822125364,53936.584749301495,49112.14332061347,49112.14332061347,49112.14332061347
2021-11-09,48447.352647863154,42202.69552138137,54441.09459213367,49170.69666050193,49170.69666050193,49170.69666050193
2021-11-10,48471.24280058931,42456.173257627444,54861.83244801298,49229.25000039037,49229.25000039037,49229.25000039037
2021-11-11,48433.62013462802,42117.33604239863,54232.922414899804,49287.803340278835,49287.803340278835,49287.803340278835
2021-11-12,48477.37280391044,42331.935087845566,54633.763758455025,49346.35668016727,49346.35668016727,49346.35668016727
2021-11-13,48503.63804625855,42550.21879141658,54565.257771709774,49404.91002005571,49404.91002005571,49404.91002005571
2021-11-14,48514.05306469575,42280.700178116414,54240.728160570776,49463.46335994417,49463.46335994417,49463.46335994417
2021-11-15,48553.63556093642,42097.198909094746,55346.011777902364,49522.01669983261,49522.01669983261,49522.01669983261
2021-11-16,48578.598967875456,42388.006921825116,54653.57725667179,49580.570039721075,49580.570039721075,49580.570039721075
2021-11-17,48662.22279835349,42576.080733947056,54547.30394427663,49639.12337960951,49639.12337960951,49639.12337960951
2021-11-18,48685.18125186869,42231.930576177714,54320.08715678009,49697.67671949798,49697.67671949798,49697.67671949798
2021-11-19,48789.07860745026,42406.46781863627,53827.94041657446,49756.23005938641,49756.23005938641,49756.23005938641
2021-11-20,48873.81733295881,42957.16096365787,54901.86806756182,49814.78339927488,49814.78339927488,49814.78339927488
2021-11-21,48939.87831945384,42811.69651678463,54898.90871533405,49873.336739163315,49873.336739163315,49873.336739163315
2021-11-22,49031.22862196994,43061.346023795784,55226.550927197866,49931.89007905175,49931.89007905175,49931.89007905175
2021-11-23,49103.16106120432,43202.22770719978,55165.39909698735,49990.443418940216,49990.443418940216,49990.443418940216
2021-11-24,49228.185481622764,43284.9871605323,55452.47943834055,50048.99675882865,50048.99675882865,50048.99675882865
2021-11-25,49286.37427307967,43089.1173680629,55147.9250267612,50107.550098717125,50107.550098717125,50107.550098717125
2021-11-26,49418.91025122933,43310.14608806924,55467.463908975114,50166.10343860556,50166.10343860556,50166.10343860556
2021-11-27,49525.46250759695,44115.764864915924,55342.07380100078,50224.65677849403,50224.65677849403,50224.65677849403
2021-11-28,49606.46944105196,43676.26927378976,55719.38043004184,50283.21011838246,50283.21011838246,50283.21011838246
2021-11-29,49706.04428345027,43707.87382993616,55480.194463976455,50341.76345827093,50341.76345827093,50341.76345827093
2021-11-30,49779.80753613173,43919.49312811343,55632.705217835864,50400.316798159365,50400.316798159365,50400.316798159365
2021-12-01,49900.76630476129,44343.34777371407,56164.077666964884,50458.87013804783,50458.87013804783,50458.87013804783
2021-12-02,49949.643456949874,44227.40416252804,55785.40049463504,50517.42347793627,50517.42347793627,50517.42347793627
2021-12-03,50068.40513288036,43994.41665145289,55845.74475199605,50575.9768178247,50575.9768178247,50575.9768178247
2021-12-04,50157.61276143409,44203.92088175097,56711.33223338141,50634.53015771317,50634.53015771317,50634.80416702124
2021-12-05,50218.679428062125,44298.12701118014,56624.96729695262,50693.083497601605,50693.083497601605,50694.01204064359
2021-12-06,50296.74661818572,43779.97277882773,56171.06466003109,50751.63683749007,50751.63683749007,50753.288334209996
2021-12-07,50348.48652187903,44415.18534710893,56312.80176372115,50810.19017737851,50810.19017737851,50812.45327686658
2021-12-08,50447.950694334904,44591.717588999,56691.029905989766,50868.74351726697,50868.74351726697,50871.743993944445
2021-12-09,50476.86882026384,44569.55258990584,56583.812340789416,50927.29685715541,50927.29685715541,50931.02093435926
