ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-04,66157.79283515975,63564.60000486001,68954.74456035282,-458159.33123607986,-458159.33123607986,-458159.33123607986
2021-11-05,66766.85580025177,64044.19380553419,69219.76493640142,-458461.1229464061,-458461.1229464061,-458461.1229464061
2021-11-06,63823.27416074957,61110.101630366386,66538.03716010397,-458762.9146567318,-458762.9146567318,-458762.9146567318
2021-11-07,65034.86100080208,62344.52707892793,67775.59576815837,-459064.70636705775,-459064.70636705775,-459064.70636705775
2021-11-08,64995.341828776174,62328.236161384695,67649.10365931838,-459366.4980773835,-459366.4980773835,-459366.4980773835
2021-11-09,67116.63504309324,64293.82888953527,69946.92779033192,-459668.2897877095,-459668.2897877095,-459668.2897877095
2021-11-10,64338.98563395627,61711.00922914705,66894.06745090413,-459970.08149803546,-459970.08149803546,-459970.08149803546
2021-11-11,63588.547419819864,60939.06264744647,66498.33514465684,-460271.8732083612,-460271.8732083612,-460271.8732083612
2021-11-12,64822.601697272155,62211.57933521353,67387.22922765002,-460573.6649186874,-460573.6649186874,-460573.6649186874
2021-11-13,67003.64541116997,64345.68379205468,69621.7273527407,-460875.4566290132,-460875.4566290132,-460875.4566290132
2021-11-14,67108.02823076071,64559.98661192876,69640.29197584436,-461177.2483393389,-461177.2483393389,-461177.2483393389
2021-11-15,67276.73076793179,64508.216311435455,69840.8084509109,-461479.0400496649,-461479.0400496649,-461479.0400496649
2021-11-16,68234.48243946244,65558.91934592942,70878.95434460613,-461780.8317599909,-461780.8317599909,-461780.8317599909
2021-11-17,69847.7543532839,66990.1338086327,72527.70126320128,-462082.6234703169,-462082.6234703169,-462082.6234703169
2021-11-18,68238.91751243937,65612.19908578249,70908.5037211526,-462384.41518064257,-462384.41518064257,-462384.41518064257
2021-11-19,68203.11061312753,65684.87841546275,70935.55247265045,-462686.20689096855,-462686.20689096855,-462686.20689096855
2021-11-20,69229.17310309719,66576.31145101188,71926.50642449927,-462987.99860129453,-462987.99860129453,-462987.99860129453
2021-11-21,70925.81127662648,68311.21528487167,73600.23660287174,-463289.7903116203,-463289.7903116203,-463289.7903116203
2021-11-22,69832.49428606388,67074.15001626145,72308.6505441106,-463591.5820219465,-463591.5820219465,-463591.5820219465
2021-11-23,68936.25886116101,66322.48528351818,71644.72411646454,-463893.37373227224,-463893.37373227224,-463893.37373227224
2021-11-24,70195.23383923335,67546.5881513865,72729.07309067438,-464195.165442598,-464195.165442598,-464195.165442598
2021-11-25,69053.99922265095,66369.02116589806,71806.08362147071,-464496.957152924,-464496.957152924,-464496.957152924
2021-11-26,67691.97233204107,64945.469073014254,70318.23173178468,-464798.74886324996,-464798.74886324996,-464798.74886324996
2021-11-27,68470.9120587685,65830.74362412251,71193.54116508037,-465100.54057357594,-465100.54057357594,-465100.54057357594
