ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-04,48543.85674222962,42147.453715421936,54395.463636981796,48877.92996105966,48877.92996105966,48877.92996105966
2021-11-05,48550.92401306311,42167.79159535164,54587.41642279316,48936.48330094813,48936.48330094813,48936.48330094813
2021-11-06,48533.58220525086,42404.326881768415,54578.08084874653,48995.036640836566,48995.036640836566,48995.036640836566
2021-11-07,48494.535900566145,42235.00862883926,54622.83668481294,49053.58998072503,49053.58998072503,49053.58998072503
2021-11-08,48479.97325140733,42385.38860125445,54476.027147138695,49112.14332061347,49112.14332061347,49112.14332061347
2021-11-09,48447.352647863154,42134.228124005684,54206.88274322218,49170.69666050193,49170.69666050193,49170.69666050193
2021-11-10,48471.24280058931,42537.593507831676,54561.48793966007,49229.25000039037,49229.25000039037,49229.25000039037
2021-11-11,48433.62013462802,42224.1341212975,54634.84784131083,49287.803340278835,49287.803340278835,49287.803340278835
2021-11-12,48477.37280391044,42212.761930698754,54663.7996289286,49346.35668016727,49346.35668016727,49346.35668016727
2021-11-13,48503.63804625855,42005.57543287564,54453.398403420135,49404.91002005571,49404.91002005571,49404.91002005571
2021-11-14,48514.05306469575,42426.43656596534,54570.23907614834,49463.46335994417,49463.46335994417,49463.46335994417
2021-11-15,48553.63556093642,42443.061865576565,54239.066267449445,49522.01669983261,49522.01669983261,49522.01669983261
2021-11-16,48578.598967875456,42156.25705627065,54816.40264285675,49580.570039721075,49580.570039721075,49580.570039721075
2021-11-17,48662.22279835349,42295.07248880443,55141.9642771642,49639.12337960951,49639.12337960951,49639.12337960951
